tfee,year,pollutant,airzone,colour_order,colour,colour_text,labels_txt,labels,popup
FALSE,2014,SO2,Coastal,4,#A50026,red,"Port Alice-Lake Road,Rumble Beach-Hospital,Port Alice-Lake Road,Rumble Beach-Hospital",Actions for Achieving Air Zone CAAQS,Coastal <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2013,SO2,Coastal,4,#A50026,red,"Rumble Beach-Hospital,Port Alice-Lake Road,Rumble Beach-Hospital",Actions for Achieving Air Zone CAAQS,Coastal <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2013,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Airport,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2014,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Airport,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2015,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2016,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2017,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Airport,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2018,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2019,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Butler Park,Trail-Airport",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
FALSE,2020,SO2,Southern Interior,4,#A50026,red,"Trail-Butler Park,Trail-Butler Park",Actions for Achieving Air Zone CAAQS,Southern Interior <br> SO2 Management Action: red <br> Actions for Achieving Air Zone CAAQS
